X, м	Y, м	В, Тл
-0,1	-0,025	0,0467
-0,1	-0,015	0,049
-0,1	-0,005	0,047733333
-0,1	0,005	0,046466667
-0,1	0,015	0,0452
-0,1	0,025	0,04395
-0,1	0,035	0,0427
-0,1	0,045	0,03865
-0,1	0,055	0,0346
-0,1	0,065	0,02795
-0,1	0,075	0,0213
-0,1	0,085	0,0159
-0,1	0,095	0,0105
-0,1	0,105	0,00765
-0,1	0,115	0,0048
-0,09	-0,135	0,00245
-0,09	-0,125	0,003675
-0,09	-0,115	0,0049
-0,09	-0,105	0,00825
-0,09	-0,095	0,0116
-0,09	-0,085	0,01855
-0,09	-0,075	0,0255
-0,09	-0,065	0,0367
-0,09	-0,055	0,0479
-0,09	-0,045	0,05375
-0,09	-0,035	0,0596
-0,09	-0,025	0,06465
-0,09	-0,015	0,0697
-0,09	-0,005	0,070033333
-0,09	0,005	0,070366667
-0,09	0,015	0,0707
-0,09	0,025	0,0693
-0,09	0,035	0,0679
-0,09	0,045	0,0594
-0,09	0,055	0,0509
-0,09	0,065	0,04065
-0,09	0,075	0,0304
-0,09	0,085	0,02205
-0,09	0,095	0,0137
-0,09	0,105	0,0099
-0,09	0,115	0,0061
-0,08	-0,135	0,0028
-0,08	-0,125	0,004325
-0,08	-0,115	0,00585
-0,08	-0,105	0,0112
-0,08	-0,095	0,01455
-0,08	-0,085	0,0215
-0,08	-0,075	0,0348
-0,08	-0,065	0,046
-0,08	-0,055	0,0728
-0,08	-0,045	0,08935
-0,08	-0,035	0,0952
-0,08	-0,025	0,10025
-0,08	-0,015	0,105
-0,08	-0,005	0,105366667
-0,08	0,005	0,105733333
-0,08	0,015	0,1061
-0,08	0,025	0,10455
-0,08	0,035	0,103
-0,08	0,045	0,08995
-0,08	0,055	0,0769
-0,08	0,065	0,05925
-0,08	0,075	0,0416
-0,08	0,085	0,02945
-0,08	0,095	0,0173
-0,08	0,105	0,01225
-0,08	0,115	0,0072
-0,07	-0,135	0,00315
-0,07	-0,125	0,004975
-0,07	-0,115	0,0068
-0,07	-0,105	0,01215
-0,07	-0,095	0,0175
-0,07	-0,085	0,0308
-0,07	-0,075	0,0441
-0,07	-0,065	0,0709
-0,07	-0,055	0,0977
-0,07	-0,045	0,11425
-0,07	-0,035	0,1308
-0,07	-0,025	0,13555
-0,07	-0,015	0,1403
-0,07	-0,005	0,141066667
-0,07	0,005	0,141833333
-0,07	0,015	0,1426
-0,07	0,025	0,14135
-0,07	0,035	0,1401
-0,07	0,045	0,12375
-0,07	0,055	0,1074
-0,07	0,065	0,07955
-0,07	0,075	0,0517
-0,07	0,085	0,03625
-0,07	0,095	0,0208
-0,07	0,105	0,01455
-0,07	0,115	0,0083
-0,06	-0,135	0,0035
-0,06	-0,125	0,0055
-0,06	-0,115	0,0075
-0,06	-0,105	0,01285
-0,06	-0,095	0,0195
-0,06	-0,085	0,03645
-0,06	-0,075	0,04975
-0,06	-0,065	0,07655
-0,06	-0,055	0,1117
-0,06	-0,045	0,13255
-0,06	-0,035	0,1491
-0,06	-0,025	0,15115
-0,06	-0,015	0,1559
-0,06	-0,005	0,156666667
-0,06	0,005	0,156966667
-0,06	0,015	0,1568
-0,06	0,025	0,1556
-0,06	0,035	0,15435
-0,06	0,045	0,13785
-0,06	0,055	0,1215
-0,06	0,065	0,08565
-0,06	0,075	0,0578
-0,06	0,085	0,04235
-0,06	0,095	0,02315
-0,06	0,105	0,01535
-0,06	0,115	0,0091
-0,05	-0,135	0,0037
-0,05	-0,125	0,00595
-0,05	-0,115	0,0082
-0,05	-0,105	0,01485
-0,05	-0,095	0,0215
-0,05	-0,085	0,03845
-0,05	-0,075	0,0554
-0,05	-0,065	0,09055
-0,05	-0,055	0,1257
-0,05	-0,045	0,14655
-0,05	-0,035	0,1674
-0,05	-0,025	0,16945
-0,05	-0,015	0,1715
-0,05	-0,005	0,171333333
-0,05	0,005	0,171166667
-0,05	0,015	0,171
-0,05	0,025	0,1698
-0,05	0,035	0,1686
-0,05	0,045	0,1521
-0,05	0,055	0,1356
-0,05	0,065	0,09975
-0,05	0,075	0,0639
-0,05	0,085	0,0447
-0,05	0,095	0,0255
-0,05	0,105	0,0177
-0,05	0,115	0,0099
-0,04	-0,135	0,0039
-0,04	-0,125	0,00615
-0,04	-0,115	0,00855
-0,04	-0,105	0,0152
-0,04	-0,095	0,0223
-0,04	-0,085	0,0401
-0,04	-0,075	0,05705
-0,04	-0,065	0,0922
-0,04	-0,055	0,12715
-0,04	-0,045	0,148
-0,04	-0,035	0,1688
-0,04	-0,025	0,17085
-0,04	-0,015	0,17245
-0,04	-0,005	0,17235
-0,04	0,005	0,172216667
-0,04	0,015	0,17205
-0,04	0,025	0,17085
-0,04	0,035	0,1696
-0,04	0,045	0,1531
-0,04	0,055	0,1378
-0,04	0,065	0,10195
-0,04	0,075	0,0652
-0,04	0,085	0,0457
-0,04	0,095	0,0265
-0,04	0,105	0,0187
-0,04	0,115	0,0102
-0,03	-0,135	0,0041
-0,03	-0,125	0,0065
-0,03	-0,115	0,0089
-0,03	-0,105	0,016
-0,03	-0,095	0,0231
-0,03	-0,085	0,0409
-0,03	-0,075	0,0587
-0,03	-0,065	0,09365
-0,03	-0,055	0,1286
-0,03	-0,045	0,1494
-0,03	-0,035	0,1702
-0,03	-0,025	0,1718
-0,03	-0,015	0,1734
-0,03	-0,005	0,1733
-0,03	0,005	0,1732
-0,03	0,015	0,1731
-0,03	0,025	0,17185
-0,03	0,035	0,1706
-0,03	0,045	0,1553
-0,03	0,055	0,14
-0,03	0,065	0,10325
-0,03	0,075	0,0665
-0,03	0,085	0,047
-0,03	0,095	0,0275
-0,03	0,105	0,019
-0,03	0,115	0,0105
-0,02	-0,135	0,00408
-0,02	-0,125	0,00665
-0,02	-0,115	0,00905
-0,02	-0,105	0,01615
-0,02	-0,095	0,02325
-0,02	-0,085	0,04105
-0,02	-0,075	0,05885
-0,02	-0,065	0,09355
-0,02	-0,055	0,1285
-0,02	-0,045	0,14945
-0,02	-0,035	0,17025
